marca_id,nombre,color
12,Crema Facial para el Día FPS 30 TimeWise® Age Minimize 3D®,
12,Dúo de Bronceador en Crema Mary Kay® de Edición Limitada ,Bronze & Shimmer
12,Labial con Forma de Corazón Mary Kay® de Edición Limitada ,Natural Confidence
12,Labial con Forma de Corazón Mary Kay® de Edición Limitada ,Courageous Pink
12,Rizador para pestañas Mary Kay® de Edición Limitada,
12,Polvo Fijador con Acabado Sedoso Mary Kay® ,Deep Beige
12,Polvo Fijador con Acabado Sedoso Mary Kay® ,Light Bronze
12,Pro Palette Mary Kay®,
12,Delineador Líquido para Ojos Mary Kay® ),Negro (tintero
12,Rubor en Crema para Labios y Mejillas Mary Kay® de Edición Limitada ,"Spiced Berry, Luminoso"
12,Rubor en Crema para Labios y Mejillas Mary Kay® de Edición Limitada ,"Luxe Lilac, Luminoso"
12,Rubor en Crema para Labios y Mejillas Mary Kay® de Edición Limitada ,"Peach Shimmer, Con Destellos"
12,Brocha en Forma de Corazón Mary Kay® de Edición Limitada,
12,Polvo de Acabado Mate Mary Kay At Play® de Edición Especial ,"Banana Cake, Mate"
12,Mary Kay Perfect Palette®,
12,Rubor Compacto Mary Kay Chromafusion® ,"Wineberry, Con Destellos"
12,Rubor Compacto Mary Kay Chromafusion® ,"Shy Blush, Con Destellos"
12,Rubor Compacto Mary Kay Chromafusion® ,Rosy Nude
12,Esponja Cosmética Mary Kay®,
12,Maquillaje Líquido TimeWise 3D® con Acabado Mate ,"Bronze W 110, Mate"
12,Corrector Mary Kay Perfecting Concealer® ,Deep Beige
12,CC Cream Crema Correctora de Color con FPS 15 Mary Kay® ,"Medium to Deep, Natural"
12,Maquillaje en Polvo Traslúcido Mineral Mary Kay® ,"Beige 1, Traslúcido"
12,Sacapuntas Mary Kay®,
