Nombre,Color,Monto,Cantidad,Tipo
shape tape™ concealer,light-medium,$272.00,1,compra
face tape™ foundation,Light-medium sand,$352.00,2,compra
tartelette™ energy Amazonian clay palette,multi,$396.00,1,compra
hydroflex™ serum foundation,20S light sand,$344.00,1,compra
shape tape™ best-sellers set,light,$264.80,1,compra
face tape™ foundation,light neutral,$352.00,1,compra
shape tape™ concealer,light-medium sand,$272.00,1,compra
maracuja juicy lip balm,honeysuckle,$212.00,1,compra
limited-edition cheek stain,exposed,$264.00,1,compra
party ready lashes curler & mascara set,multi,$228.80,1,compra
secrets from the Amazon brush set,multi,$352.80,1,compra
shape tape™ concealer,light neutral,$272.00,1,compra
maracuja juicy lip plump,honeysuckle (black cherry),$212.00,1,compra
limited-edition cheek stain,flush,$264.00,1,compra
bloomin' beauties cheek set,multi,$576.80,2,compra
shape tape™ concealer,light sand,$272.00,1,compra
face tape™ foundation,medium sand,$352.00,1,compra
limited-edition cheek stain,tipsy,$264.00,1,compra
maracuja juicy lip plump,poppy (strawberry),$212.00,1,compra
sugar rush™ fly squad brush,multi,$177.60,1,compra
Amazonian clay 12-hour blush in bloom,bloom,$352.00,2,compra
face tape™ foundation,medium sand,$704.00,1,compra
face tape™ foundation,light-medium sand,$704.00,1,compra
shape tape™ pressed powder,light-medium sand,$616.00,2,compra
