nombre,color,marca_id
shape tape™ concealer,light-medium,2
face tape™ foundation,Light-medium sand,2
tartelette™ energy Amazonian clay palette,multi,2
hydroflex™ serum foundation,20S light sand,2
shape tape™ best-sellers set,light,2
face tape™ foundation,light neutral,2
shape tape™ concealer,light-medium sand,2
maracuja juicy lip balm,honeysuckle,2
limited-edition cheek stain,exposed,2
party ready lashes curler & mascara set,multi,2
secrets from the Amazon brush set,multi,2
shape tape™ concealer,light neutral,2
maracuja juicy lip plump,honeysuckle (black cherry),2
limited-edition cheek stain,flush,2
bloomin' beauties cheek set,multi,2
shape tape™ concealer,light sand,2
face tape™ foundation,medium sand,2
limited-edition cheek stain,tipsy,2
maracuja juicy lip plump,poppy (strawberry),2
sugar rush™ fly squad brush,multi,2
Amazonian clay 12-hour blush in bloom,bloom,2
face tape™ foundation,light-medium sand,2
shape tape™ pressed powder,light-medium sand,2
